timestamp,userid,request
2024-04-03 18:16:02.000000,17065,GET /data/m/the+dark+knight+2008/57.mpg
2024-04-03 18:16:02.000000,686609,GET /data/m/the+lost+weekend+1945/98.mpg
2024-04-03 18:16:02.000000,557050,GET /data/m/progression+2009/59.mpg
2024-04-03 18:16:02.000000,827219,GET /data/m/alien+1979/92.mpg
2024-04-03 18:16:02.000000,16181,GET /data/m/spread+2009/82.mpg
2024-04-03 18:16:02.000000,950721,GET /data/m/the+man+in+the+glass+booth+1975/107.mpg
2024-04-03 18:16:02.000000,929057,GET /data/m/hustle++flow+2005/39.mpg
2024-04-03 18:16:02.000000,740972,GET /data/m/interstellar+2014/1.mpg
2024-04-03 18:16:02.000000,500270,GET /data/m/gate+of+hell+1953/40.mpg
2024-04-03 18:16:02.000000,860983,GET /data/m/french+kiss+1995/93.mpg
2024-04-03 18:16:02.000000,225324,GET /data/m/dances+with+wolves+1990/92.mpg
2024-04-03 18:16:02.000000,418707,GET /data/m/gunfighters+moon+1997/87.mpg
2024-04-03 18:16:02.000000,126955,GET /data/m/the+green+mile+1999/86.mpg
2024-04-03 18:16:02.000000,682626,GET /data/m/castle+in+the+sky+1986/47.mpg
2024-04-03 18:16:02.000000,849368,GET /data/m/dogville+2003/10.mpg
2024-04-03 18:16:02.000000,940693,GET /data/m/the+ruling+class+1972/96.mpg
2024-04-03 18:16:02.000000,984823,GET /data/m/megamind+2010/19.mpg
2024-04-03 18:16:02.000000,450430,GET /data/m/big+wednesday+1978/98.mpg
2024-04-03 18:16:02.000000,460164,GET /data/m/iron+man+2+2010/92.mpg
2024-04-03 18:16:02.000000,547247,GET /data/m/stargate+continuum+2008/61.mpg
2024-04-03 18:16:02.000000,408037,GET /data/m/senna+2010/90.mpg
2024-04-03 18:16:02.000000,449922,GET /data/m/inception+2010/97.mpg
2024-04-03 18:16:02.000000,895504,GET /data/m/norwegian+wood+2010/85.mpg
2024-04-03 18:16:02.000000,334380,GET /data/m/coraline+2009/82.mpg
2024-04-03 18:16:02.000000,894082,GET /data/m/fight+club+1999/91.mpg
2024-04-03 18:16:02.000000,470702,GET /data/m/music+box+1989/114.mpg
2024-04-03 18:16:02.000000,842865,GET /data/m/stuck+in+love+2012/91.mpg
2024-04-03 18:16:02.000000,847442,GET /data/m/titanic+1997/63.mpg
2024-04-03 18:16:02.000000,448973,GET /data/m/arn+the+kingdom+at+roads+end+2008/1.mpg
2024-04-03 18:16:02.000000,756184,GET /data/m/seven+samurai+1954/17.mpg
2024-04-03 18:16:02.000000,278729,GET /data/m/inglourious+basterds+2009/83.mpg
2024-04-03 18:16:02.000000,65242,GET /data/m/sergeant+york+1941/87.mpg
2024-04-03 18:16:02.000000,221824,GET /data/m/chappie+2015/61.mpg
2024-04-03 18:16:02.000000,424256,GET /data/m/good+night_+and+good+luck.+2005/81.mpg
2024-04-03 18:16:02.000000,608661,GET /data/m/anchors+aweigh+1945/72.mpg
2024-04-03 18:16:02.000000,312999,GET /data/m/the+lord+of+the+rings+the+return+of+the+king+2003/4.mpg
2024-04-03 18:16:02.000000,614354,GET /data/m/spread+2009/86.mpg
2024-04-03 18:16:02.000000,892581,GET /data/m/the+green+mile+1999/59.mpg
2024-04-03 18:16:02.000000,725936,GET /data/m/the+godfather+1972/46.mpg
2024-04-03 18:16:02.000000,349706,GET /data/m/the+tigers+tail+2006/86.mpg
2024-04-03 18:16:02.000000,298224,GET /data/m/transistor+love+story+2001/83.mpg
2024-04-03 18:16:02.000000,989797,GET /data/m/spread+2009/84.mpg
2024-04-03 18:16:02.000000,602243,GET /data/m/the+shawshank+redemption+1994/91.mpg
2024-04-03 18:16:02.000000,823560,GET /data/m/stand+up+and+fight+1939/81.mpg
2024-04-03 18:16:02.000000,527774,GET /data/m/goodfellas+1990/16.mpg
2024-04-03 18:16:02.000000,653107,GET /data/m/essential+killing+2010/5.mpg
2024-04-03 18:16:02.000000,657946,GET /data/m/saboteur+1942/89.mpg
2024-04-03 18:16:02.000000,515448,GET /data/m/my+neighbor+totoro+1988/87.mpg
2024-04-03 18:16:02.000000,131585,GET /data/m/walle+2008/67.mpg
